benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
critpt,gpt-5-4-mini,3,GPT-5.4 mini(xhigh),gpt-5-4-mini,139119.94035522657,8590251.869509598,70628.19013517574,10.0,0.1,8660880.059644774
critpt,gpt-5-4-nano,2,GPT-5.4 nano,gpt-5-4-nano-medium,135114.38254607233,1197129.393317876,167756.22413605172,5.1,0.051,1364885.6174539276
critpt,gpt-5-4-nano,2,GPT-5.4 nano(xhigh),gpt-5-4-nano,128631.71583562464,7728834.770008178,242533.5141561968,9.3,0.093,7971368.284164376
critpt,gpt-5-mini,3,GPT-5 mini(minimal),gpt-5-mini-minimal,344243.2787493199,0.0,225756.7212506801,0.0,0.0,225756.7212506801
critpt,gpt-5-mini,3,GPT-5 mini(medium),gpt-5-mini-medium,296890.69437486265,597210.471702153,205898.8339229843,1.4,0.0139999999999999,803109.3056251373
critpt,gpt-5-mini,3,GPT-5 mini(high),gpt-5-mini,337137.9011158628,2409068.8974405527,253793.2014435848,0.0,0.0,2662862.0988841373
critpt,gpt-5-nano,3,GPT-5 nano(minimal),gpt-5-nano-minimal,294241.8085374981,0.0,175758.1914625019,0.0,0.0,175758.1914625019
critpt,gpt-5-nano,3,GPT-5 nano(medium),gpt-5-nano-medium,281798.80554038234,1063197.7602849868,155003.43417463082,0.0,0.0,1218201.1944596176
critpt,gpt-5-nano,3,GPT-5 nano(high),gpt-5-nano,282274.3200326633,2456526.082709159,161199.5972581779,0.0,0.0,2617725.679967337
critpt,gpt-oss-120b,2,gpt-oss-120B(low),gpt-oss-120b-low,245569.2547124581,79866.50118928895,124564.24409825298,0.0,0.0,204430.745287542
critpt,gpt-oss-120b,2,gpt-oss-120B(high),gpt-oss-120b,288365.26847839414,1944540.2988638445,167094.43265776144,1.1,0.011,2111634.731521606
